Number,Arabic,Romanized Arabic,English
1,كما,kama,as
2,أنا,ana,I
3,له,lahu,his
4,أن,an,that
5,هو,huwa,he
6,كان,kana,was
7,إلى,ila,for / to
8,في,fi,on / in
9,هي,hiya,are / she
10,مع,ma‘a,with
11,هم,hum,they
12,يكون,yakūn,be
13,في,fī,at / in
14,واحد,wāḥid,one
15,ديك,deyk,have
16,هذا,hādhā,this
17,من,min,from
18,بواسطة,biwāsiṭa,by
19,حار,ḥār,hot
20,كلمة,kalima,word
21,لكن,lākin,but
22,ما,mā,what
23,بعض,ba‘ḍ,some
24,هو,huwa,is
25,هو,huwa,it
26,أنت,anta / anti,you (m/f)
27,أو,aw,or
28,كان,kāna,had
29,و,al- / wa,the / and (contextual)
30,من,min,of
31,إلى,ilā,to
32,و,wa,and
33,و,wa,a (contextual issue — “a” isn’t directly translated)
34,في,fī,in
35,نحن,naḥnu,we
36,علبة,ʿulba,can (container)
37,خارج,khārij,out
38,البعض,al-ba‘ḍ,other / some
39,و,wa,were
40,التي,allatī,which
41,القيام,al-qiyām,"do (noun form, “doing”)"
42,من,min,their
43,الوقت,al-waqt,time
44,إذا,idhā,if
45,سوف,sawfa,will
46,كيف,kayfa,how
47,قال,qāla,said
48,و,wa,an
49,كل,kull,each
50,أقول,aqūl,tell / say
51,لا,lā,no / not / does not
52,مجموعة,majmū‘a,set / group
53,ثلاثة,thalātha,three
54,تريد,turīd,want
55,هواء,hawā’,air
56,جيد,jayyid,good / well
57,أيضا,ayḍan,also
58,لعب,la‘iba,play
59,صغير,ṣaghīr,small
60,نهاية,nihāya,end
61,وضع,waḍa‘a,put / place
62,المنزل,al-manzil,home / house
63,قرأ,qara’a,read
64,يد,yad,hand
65,ميناء,mīnā’,port / harbor
66,كبير,kabīr,large / big
67,تهجى,tahajjā,spell
68,إضافة,iḍāfa,add / addition
69,حتى,ḥattā,even / until
70,الأرض,al-arḍ,land / the earth
71,هنا,hunā,here
72,يجب,yajibu,must / should
73,كبير,kabīr,big
74,ارتفاع,irtifā‘,high / height
75,مثل,mithl,such / like
76,تابع,tāba‘a,follow
77,فعل,fa‘ala,do / act
78,لماذا,limādhā,why
79,تطلب,taṭlub,ask / request
80,الرجال,al-rijāl,men
81,تغيير,taghyīr,change
82,ذهب,dhahaba,went / go
83,ضوء,ḍaw’,light
84,نوع,naw‘,kind / type
85,بعيدا,ba‘īdan,off / far
86,تحتاج,taḥtāj,need
87,منزل,manzil,house
88,صور,ṣuwar,pictures / images
89,محاولة,muḥāwala,try / attempt
90,لنا,lanā,us / for us
91,مرة أخرى,marra ukhrā,again
92,الحيوان,al-ḥayawān,animal
93,نقطة,nuqṭa,point / dot
94,أم,umm,mother
95,العالم,al-‘ālam,world
96,قرب,qurb,near / close
97,بناء,binā’,build / building
98,النفس,al-nafs,self
99,أرض,arḍ,earth / ground
100,الأب,al-ab,father
101,أي,ayy,any
102,جديدة,jadīda,new
103,العمل,al-‘amal,work
104,جزء,juz’,part
105,أخذ,akhadh,take
106,الحصول على,al-ḥuṣūl ‘alā,get / obtain
107,مكان,makān,place
108,مصنوع,maṣnū‘,made
109,حي,ḥayy,live / alive / neighborhood
110,حيث,ḥaythu,where
111,بعد,ba‘d,after
112,ظهر,ẓahr,back
113,القليل,al-qalīl,little / few
114,فقط,faqaṭ,only
115,جولة,jawla,round / tour
116,رجل,rajul,man
117,عام,‘ām,year
118,جاء,jā’a,came
119,المعرض,al-ma‘raḍ,show / exhibition
120,كل,kull,every / all
121,جيد,jayyid,good
122,أنا,ana,me
123,منح,manaḥa,give / grant
124,لدينا,ladaynā,our / we have
125,تحت,taḥt,under
126,اسم,ism,name
127,جدا,jiddan,very
128,من خلال,min khilāl,through
129,فقط,faqaṭ,just / only
130,شكل,shakl,form / shape
131,عقوبة,‘uqūba,sentence / punishment
132,عظيم,‘aẓīm,great
133,اعتقد,i‘taqad,think / believe
134,قول,qawl,say / statement
135,مساعدة,musā‘ada,help
136,منخفض,munkhafiḍ,low
137,خط,khaṭṭ,line
138,اختلف,ikhtalafa,differ
139,منعطف,muna‘ṭaf,turn / bend
140,السبب,al-sabab,cause / reason
141,كثيرا,kathīran,much / a lot
142,متوسط,mutawassiṭ,mean / average
143,قبل,qabla,before
144,خطوة,khuṭwa,move / step
145,الحق,al-ḥaqq,right / truth
146,صبي,ṣabī,boy
147,قديم,qadīm,old
148,أيضا,ayḍan,too / also
149,نفسه,nafsahu,same / himself
150,هي,hiya,she
151,كل,kull,all
152,هناك,hunāk,there
153,عندما,‘indamā,when
154,فوق,fawq,up / above
155,استخدام,istiqdām / isti‘māl,use
156,ك,ka / ki,your (as prefix or particle)
157,طريق,ṭarīq,way / road
