,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Arabic,Romanized Arabic,English
0,0,0,0,0,0,0,1,كما,kama,as
1,1,1,1,1,1,1,2,أنا,ana,I
2,2,2,2,2,2,2,3,له,lahu,his
3,3,3,3,3,3,3,4,أن,an,that
4,4,4,4,4,4,4,5,هو,huwa,he
5,5,5,5,5,5,5,6,كان,kana,was
6,6,6,6,6,6,6,7,إلى,ila,for / to
7,7,8,8,8,8,8,9,هي,hiya,are / she
8,8,9,9,9,9,9,10,مع,ma‘a,with
9,9,11,11,11,11,11,12,يكون,yakūn,be
10,10,13,13,13,13,13,14,واحد,wāḥid,one
11,11,14,14,14,14,14,15,ديك,deyk,have
12,12,15,15,15,15,15,16,هذا,hādhā,this
13,13,16,16,16,16,16,17,من,min,from
14,14,17,17,17,17,17,18,بواسطة,biwāsiṭa,by
15,15,18,18,18,18,18,19,حار,ḥār,hot
16,16,19,19,19,19,19,20,كلمة,kalima,word
17,17,20,20,20,20,20,21,لكن,lākin,but
18,18,21,21,21,21,21,22,ما,mā,what
19,19,22,22,22,22,22,23,بعض,ba‘ḍ,some
20,20,23,23,23,23,23,24,هو,huwa,is
21,21,24,24,24,24,24,25,هو,huwa,it
22,22,25,25,25,25,25,26,أنت,anta / anti,you (m/f)
23,23,27,27,27,27,27,28,كان,kāna,had
24,24,29,29,29,29,29,30,من,min,of
25,25,30,30,30,30,30,31,إلى,ilā,to
26,26,34,34,34,34,34,35,نحن,naḥnu,we
27,27,35,35,35,35,35,36,علبة,ʿulba,can (container)
28,28,36,36,36,36,36,37,خارج,khārij,out
29,29,37,37,37,37,37,38,البعض,al-ba‘ḍ,other / some
30,30,39,39,39,39,39,40,التي,allatī,which
31,31,40,40,40,40,40,41,القيام,al-qiyām,"do (noun form, “doing”)"
32,32,41,41,41,41,41,42,من,min,their
33,33,42,43,43,43,43,44,إذا,idhā,if
34,34,43,44,44,44,44,45,سوف,sawfa,will
35,35,44,45,45,45,45,46,كيف,kayfa,how
36,36,45,46,46,46,46,47,قال,qāla,said
37,37,47,48,48,48,48,49,كل,kull,each
38,38,48,49,49,49,49,50,أقول,aqūl,tell / say
39,39,49,50,50,50,50,51,لا,lā,no / not / does not
40,40,50,51,51,51,51,52,مجموعة,majmū‘a,set / group
41,41,51,52,52,52,52,53,ثلاثة,thalātha,three
42,42,52,53,53,53,53,54,تريد,turīd,want
43,43,53,54,54,54,54,55,هواء,hawā’,air
44,44,54,55,55,55,55,56,جيد,jayyid,good / well
45,45,55,56,56,56,56,57,أيضا,ayḍan,also
46,46,56,57,57,57,57,58,لعب,la‘iba,play
47,47,57,58,58,58,58,59,صغير,ṣaghīr,small
48,48,58,59,59,59,59,60,نهاية,nihāya,end
49,49,59,60,60,60,60,61,وضع,waḍa‘a,put / place
50,50,60,61,61,61,61,62,المنزل,al-manzil,home / house
51,51,61,62,62,62,62,63,قرأ,qara’a,read
52,52,62,63,63,63,63,64,يد,yad,hand
53,53,63,64,64,64,64,65,ميناء,mīnā’,port / harbor
54,54,65,66,66,66,66,67,تهجى,tahajjā,spell
55,55,66,67,67,67,67,68,إضافة,iḍāfa,add / addition
56,56,67,68,68,68,68,69,حتى,ḥattā,even / until
57,57,68,69,69,69,69,70,الأرض,al-arḍ,land / the earth
58,58,69,70,70,70,70,71,هنا,hunā,here
59,59,70,71,71,71,71,72,يجب,yajibu,must / should
60,60,72,73,73,73,73,74,ارتفاع,irtifā‘,high / height
61,61,73,74,74,74,74,75,مثل,mithl,such / like
62,62,74,75,75,75,75,76,تابع,tāba‘a,follow
63,63,75,76,76,76,76,77,فعل,fa‘ala,do / act
64,64,76,77,77,77,77,78,لماذا,limādhā,why
65,65,77,78,78,78,78,79,تطلب,taṭlub,ask / request
66,66,78,79,79,79,79,80,الرجال,al-rijāl,men
67,67,79,80,80,80,80,81,تغيير,taghyīr,change
68,68,81,82,82,82,82,83,ضوء,ḍaw’,light
69,69,82,83,83,83,83,84,نوع,naw‘,kind / type
70,70,83,84,84,84,84,85,بعيدا,ba‘īdan,off / far
71,71,84,85,85,85,85,86,تحتاج,taḥtāj,need
72,72,85,86,86,86,86,87,منزل,manzil,house
73,73,86,87,87,87,87,88,صور,ṣuwar,pictures / images
74,74,87,88,88,88,88,89,محاولة,muḥāwala,try / attempt
75,75,88,89,89,89,89,90,لنا,lanā,us / for us
76,76,90,91,91,91,91,92,الحيوان,al-ḥayawān,animal
77,77,91,92,92,92,92,93,نقطة,nuqṭa,point / dot
78,78,92,93,93,93,93,94,أم,umm,mother
79,79,93,94,94,94,94,95,العالم,al-‘ālam,world
80,80,94,95,95,95,95,96,قرب,qurb,near / close
81,81,95,96,96,96,96,97,بناء,binā’,build / building
82,82,96,97,97,97,97,98,النفس,al-nafs,self
83,83,97,98,98,98,98,99,أرض,arḍ,earth / ground
84,84,98,99,99,99,99,100,الأب,al-ab,father
85,85,100,101,101,101,101,102,جديدة,jadīda,new
86,86,102,103,103,103,103,104,جزء,juz’,part
87,87,103,104,104,104,104,105,أخذ,akhadh,take
88,88,104,105,105,105,105,106,الحصول على,al-ḥuṣūl ‘alā,get / obtain
89,89,105,106,106,106,106,107,مكان,makān,place
90,90,106,107,107,107,107,108,مصنوع,maṣnū‘,made
91,91,107,108,108,108,108,109,حي,ḥayy,live / alive / neighborhood
92,92,108,109,109,109,109,110,حيث,ḥaythu,where
93,93,109,110,110,110,110,111,بعد,ba‘d,after
94,94,110,111,111,111,111,112,ظهر,ẓahr,back
95,95,111,113,113,113,113,114,فقط,faqaṭ,only
96,96,113,115,115,115,115,116,رجل,rajul,man
97,97,114,116,116,116,116,117,عام,‘ām,year
98,98,115,117,117,117,117,118,جاء,jā’a,came
99,99,116,118,118,118,118,119,المعرض,al-ma‘raḍ,show / exhibition
100,100,117,119,119,119,119,120,كل,kull,every / all
101,101,118,120,120,120,120,121,جيد,jayyid,good
102,102,119,121,121,121,121,122,أنا,ana,me
103,103,120,122,122,122,122,123,منح,manaḥa,give / grant
104,104,121,123,123,123,123,124,لدينا,ladaynā,our / we have
105,105,122,124,124,124,124,125,تحت,taḥt,under
106,106,123,125,125,125,125,126,اسم,ism,name
107,107,124,126,126,126,126,127,جدا,jiddan,very
108,108,125,127,127,127,127,128,من خلال,min khilāl,through
